"","Threshold","Ensembling","number_SVM","number_RDA","number_RF","mean_Accuracy","sd_Accuracy","mean_Sensitivity","sd_Sensitivity","mean_Specificity","sd_Specificity"
"1248",0.4,"Rank averaging",4,2,0,72.2353199188552,7.10247065701933,75.7142857142857,6.06091526731326,72.1986301369863,7.35197324548753
"155",0.35,"Rank averaging",2,0,2,72.0779648007018,8.27096664829969,75.7142857142857,6.06091526731326,72.041095890411,8.54339973981554
"1311",0.4,"Rank averaging",5,2,0,72.0648061845496,6.39765124356621,75.7142857142857,6.06091526731326,72.0228310502283,6.63195127195054
"1038",0.4,"Rank averaging",0,2,2,82.3208509238445,5.13688516405601,68.5714285714286,16.1624407128354,82.6552511415525,5.64071025905432
"282",0.4,"Rank averaging",4,0,2,71.9107407204342,8.03447608602994,75.7142857142857,6.06091526731326,71.8698630136986,8.30123988324481
"284",0.5,"Rank averaging",4,0,2,82.1338889193486,2.09042149468603,68.5714285714286,16.1624407128354,82.4566210045662,2.53137770068608
"1121",0.35,"Rank averaging",2,2,0,71.7468062942047,8.26631437494356,75.7142857142857,6.06091526731326,71.703196347032,8.53694214364032
"1921",0.45,"Rank averaging",6,3,2,77.8321179889248,2.49827079223976,71.4285714285714,40.4061017820884,78.0730593607306,3.40315318434073
"1228",0.45,"Rank averaging",3,2,2,81.9765338011952,3.2589174859664,68.5714285714286,16.1624407128354,82.2990867579909,3.7228041950141
"347",0.5,"Rank averaging",5,0,2,81.8027304128516,2.08576922132991,68.5714285714286,16.1624407128354,82.1187214611872,2.52492010451087
"345",0.4,"Rank averaging",5,0,2,71.2484237074401,8.02517153931769,75.7142857142857,6.06091526731326,71.1940639269406,8.28832469089437
"157",0.45,"Rank averaging",2,0,2,81.3109271341631,2.78128408807078,68.5714285714286,16.1624407128354,81.6187214611872,3.23202688569742
"176",0.35,"Rank averaging",3,0,0,70.5926860025221,8.95252469497218,75.7142857142857,6.06091526731326,70.527397260274,9.23113373247643
